"PFT","SnapYr","Forest Type","AC_10","Age Class","SumOfHa"
"PJK",2010,"Jack Pine",35,"31-40",185798.96
"PJK",2010,"Jack Pine",45,"41-50",125945.71
"PJK",2010,"Jack Pine",55,"51-60",61745.45
"PJK",2010,"Jack Pine",65,"61-70",126024.17
"PJK",2010,"Jack Pine",75,"71-80",164305.73
"PJK",2010,"Jack Pine",85,"81-90",193530.23
"PJK",2010,"Jack Pine",95,"91-100",105289.41
"PJK",2010,"Jack Pine",105,"101-110",54561.72
"PJK",2010,"Jack Pine",115,"111-120",18483.08
"PJK",2010,"Jack Pine",125,"121-130",18651.06
"PJK",2010,"Jack Pine",135,"131-140",10322.12
"PJK",2010,"Jack Pine",145,"141-150",4567.79
"PJK",2010,"Jack Pine",155,"151-160",1974.89
"PJK",2010,"Jack Pine",165,"161-170",349.50
"PJK",2010,"Jack Pine",175,"171-180",104.18
"PJK",2010,"Jack Pine",185,"181+",1595.38
"PJK",2015,"Jack Pine",5,"0-10",222224.45
"PJK",2015,"Jack Pine",15,"11-20",422284.65
"PJK",2015,"Jack Pine",25,"21-30",412267.74
"PJK",2015,"Jack Pine",35,"31-40",325424.46
"PJK",2015,"Jack Pine",45,"41-50",124893.05
"PJK",2015,"Jack Pine",55,"51-60",138257.79
"PJK",2015,"Jack Pine",65,"61-70",112495.74
"PJK",2015,"Jack Pine",75,"71-80",185574.46
"PJK",2015,"Jack Pine",85,"81-90",192485.76
"PJK",2015,"Jack Pine",95,"91-100",150023.66
"PJK",2015,"Jack Pine",105,"101-110",75658.51
"PJK",2015,"Jack Pine",115,"111-120",34867.26
"PJK",2015,"Jack Pine",125,"121-130",23441.48
"PJK",2015,"Jack Pine",135,"131-140",15041.38
"PJK",2015,"Jack Pine",145,"141-150",7953.01
"PJK",2015,"Jack Pine",155,"151-160",2967.87
"PJK",2015,"Jack Pine",165,"161-170",883.85
"PJK",2015,"Jack Pine",175,"171-180",99.33
"PJK",2015,"Jack Pine",185,"181+",170.42
"PJK",2020,"Jack Pine",5,"0-10",194355.45
"PJK",2020,"Jack Pine",15,"11-20",353230.18
"PJK",2020,"Jack Pine",25,"21-30",382999.99
"PJK",2020,"Jack Pine",35,"31-40",364231.95
"PJK",2020,"Jack Pine",45,"41-50",204269.94
"PJK",2020,"Jack Pine",55,"51-60",120119.49
"PJK",2020,"Jack Pine",65,"61-70",73054.03
"PJK",2020,"Jack Pine",75,"71-80",131370.48
"PJK",2020,"Jack Pine",85,"81-90",188377.16
"PJK",2020,"Jack Pine",95,"91-100",151405.19
"PJK",2020,"Jack Pine",105,"101-110",63705.40
"PJK",2020,"Jack Pine",115,"111-120",34297.77
"PJK",2020,"Jack Pine",125,"121-130",22375.22
"PJK",2020,"Jack Pine",135,"131-140",10508.82
"PJK",2020,"Jack Pine",145,"141-150",2904.25
"PJK",2020,"Jack Pine",155,"151-160",828.48
"PJK",2020,"Jack Pine",165,"161-170",413.20
"PJK",2020,"Jack Pine",175,"171-180",20.95
"PJK",2020,"Jack Pine",185,"181+",49.26
"POP",2000,"Poplar",5,"0-10",187582.16
"POP",2000,"Poplar",15,"11-20",155713.34
"POP",2000,"Poplar",25,"21-30",56268.92
"POP",2000,"Poplar",35,"31-40",55625.52
"POP",2000,"Poplar",45,"41-50",92256.47
"POP",2000,"Poplar",55,"51-60",161193.67
"POP",2000,"Poplar",65,"61-70",278713.76
"POP",2000,"Poplar",75,"71-80",321318.19
"POP",2000,"Poplar",85,"81-90",218326.61
"POP",2000,"Poplar",95,"91-100",169857.00
"POP",2000,"Poplar",105,"101-110",136889.80
"POP",2000,"Poplar",115,"111-120",45961.09
"POP",2000,"Poplar",125,"121-130",23312.27
"POP",2000,"Poplar",135,"131-140",13751.70
"POP",2000,"Poplar",145,"141-150",8851.41
"POP",2000,"Poplar",155,"151-160",598.88
"POP",2000,"Poplar",165,"161-170",223.19
